순번,큰 탭,세부 탭,화면명,사이트 경로,화면 역할,입력 데이터,산출/활용 데이터,다음 흐름,정리된 스크린샷,발표/보고서 활용 포인트
15,AI 기반 창업 준비도 진단,자금 사용,자금 사용계획과 전체 계획 입력,/founder/intake/fund-use-plan,정책금융 준비도와 지원사업 제출 가능성을 판단하는 비용·목적 근거를 만듭니다.,"필요 자금, 항목별 사용계획, 사업계획서 요약",정책금융 준비도 평가 근거,입력정보 검토,diagnosis-process/screenshots/15-fund-use-plan.png,AI 기반 창업 준비도 진단 흐름에서 자금 사용 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
16,AI 기반 창업 준비도 진단,검토,입력정보 최종 검토,/founder/diagnosis/review,AI 진단을 시작하기 전 입력 근거가 빠졌는지 마지막으로 확인합니다.,전체 입력값 검토,AI 진단 실행 준비 완료,AI 진단 결과 확인,diagnosis-process/screenshots/16-review.png,AI 기반 창업 준비도 진단 흐름에서 검토 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
17,AI 진단 결과,요약,창업 준비도 진단 결과 요약,/founder/diagnosis/demo/summary,"성장 준비도, 정책금융 준비도, 기관 연결 가능 여부를 한 화면에서 요약합니다.",AI가 분석한 전체 입력 근거,핵심 점수와 한 줄 진단,리포트 종합 보기,diagnosis-process/screenshots/17-result-summary.png,AI 진단 결과 흐름에서 요약 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
18,AI 진단 결과,종합 리포트,AI 진단 종합 리포트,/founder/diagnosis/demo/result,결과를 끝으로 두지 않고 다음 실행 계획으로 이어지도록 리포트 구조를 보여줍니다.,입력 데이터와 AI 평가 결과,"강점, 보완 필요, 추천 액션 요약",상세 점수 보기,diagnosis-process/screenshots/18-result-report.png,AI 진단 결과 흐름에서 종합 리포트 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
19,AI 진단 결과,5대 준비도,5대 준비도 점수 확인,/founder/diagnosis/demo/scores,"성장성, 안정성, 시장검증도, 실행준비도, 정책금융 준비도를 분리해 보여줍니다.",진단 점수 산식 결과,5개 준비도별 강점과 약점,최종 유형 보기,diagnosis-process/screenshots/19-scores.png,AI 진단 결과 흐름에서 5대 준비도 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
20,AI 진단 결과,최종 유형,창업 유형 분류,/founder/diagnosis/demo/type,현재 창업 상태를 행동 우선순위 중심의 유형으로 분류합니다.,5대 준비도와 위험요인,균형 준비형 등 최종 유형과 분류 근거,위험요인 확인,diagnosis-process/screenshots/20-final-type.png,AI 진단 결과 흐름에서 최종 유형 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
21,AI 진단 결과,위험요인,보완이 필요한 위험요인 확인,/founder/diagnosis/demo/risk,낮은 점수를 단순 경고로 끝내지 않고 실행 가능한 보완 항목으로 전환합니다.,"근거 부족 항목, 정책금융 준비도, 시장검증 상태",보완해야 할 위험요인 목록,Next Action 확인,diagnosis-process/screenshots/21-risk.png,AI 진단 결과 흐름에서 위험요인 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
22,Next Action,우선순위,우선 보완 액션 확인,/founder/diagnosis/demo/actions,"최종 유형, 우선 보완 영역, 가장 낮은 점수, 다음 목표를 한 번에 연결합니다.",AI 진단 결과와 위험요인,"고객 인터뷰, MVP 테스트, 자금계획, 사업계획서 보완 액션",보완 액션 1부터 확인,diagnosis-process/screenshots/22-priority-actions.png,Next Action 흐름에서 우선순위 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
23,보완 액션 1~4,1. 고객 인터뷰,고객 인터뷰 근거 보완,/founder/diagnosis/demo/interview,"고객 문제 반복성, 지불 의사, MVP 개선 근거를 인터뷰로 보완하게 합니다.","현재 인터뷰 수, 유료 고객 인터뷰 여부",추가 인터뷰 목표와 질문 예시,MVP 테스트 액션,diagnosis-process/screenshots/23-action-interview.png,보완 액션 1~4 흐름에서 1. 고객 인터뷰 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
24,보완 액션 1~4,2. MVP 테스트,MVP 테스트 결과 정리,/founder/diagnosis/demo/mvptest,테스트 사용자 피드백을 항목별로 정리해 시장검증 근거로 바꾸게 합니다.,"테스트 사용자 수, MVP 상태, 피드백",피드백 정리와 다음 테스트 라운드 계획,자금계획 수정,diagnosis-process/screenshots/24-action-mvp.png,보완 액션 1~4 흐름에서 2. MVP 테스트 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
25,보완 액션 1~4,3. 자금계획,자금계획 수정,/founder/diagnosis/demo/mvptest,"MVP 개발비, 마케팅비, 운영비를 항목별로 나눠 정책금융 준비도를 높입니다.","보유 자금, 월 고정비, 예상 런웨이",항목별 예산과 지원사업 신청용 자금계획,사업계획서 개선,diagnosis-process/screenshots/25-action-funding.png,보완 액션 1~4 흐름에서 3. 자금계획 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
26,보완 액션 1~4,4. 사업계획서,사업계획서 근거 보완,/founder/diagnosis/demo/planfix,"문제정의, 솔루션, 차별성, 자금 사용계획의 근거 부족 여부를 항목별로 정리합니다.","문제정의, 솔루션, 차별성, 자금 사용계획",검토 가능·보완 필요·근거 부족 항목과 개선 문장 예시,지원사업 추천 보기,diagnosis-process/screenshots/26-action-business-plan.png,보완 액션 1~4 흐름에서 4. 사업계획서 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
27,지원사업,추천 후보,추천 지원사업 후보 확인,/founder/diagnosis/demo/programs,추천은 신청 가능 확정이 아니라 자격 조건과 보완 필요 항목을 함께 보는 후보 목록입니다.,"진단 결과, 보완 과제, 지역·업종 정보","예비창업패키지, 초기창업패키지, 지역 창업지원센터 멘토링 후보",진단 완료 후 대시보드,diagnosis-process/screenshots/27-programs.png,지원사업 흐름에서 추천 후보 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
28,지원사업,대시보드,진단 완료 후 대시보드 복귀,/founder/dashboard,"AI 진단 요약, 부족한 항목 TOP 3, 이번 주 보완 액션, 기관 매칭 상태를 운영 화면으로 연결합니다.",진단 완료 결과,추적 가능한 보완 액션과 기관 추천 현황,성장 추적과 상담 관리,diagnosis-process/screenshots/28-dashboard-return.png,지원사업 흐름에서 대시보드 단계가 어떤 판단 근거를 만드는지 설명할 때 사용
